Befund;;;1;Punkt/Linie
Festpunkt;;;1;Punkt
Fotoentzerrpunkt;;;1;Punkt
Fund;;;1;Punkt
Fundkonzentration;;;1;Punkt/Linie
Georeferenzierung;;;1;Punkt
Höhenpunkt;;;1;Punkt
Kartenbeschriftung;;;1;Punkt
Kasten;;;1;Punkt
Probe;;;1;Punkt
Profil;;;1;Linie
Schnitt;;;1;Linie
Sonstiges;;;1;Punkt/Linie
Station/Standpunkt;;;1;Punkt
Steine;;;1;Punkt/Linie
Störung;;;1;Linie
Topo/Kartographie;;;1;Punkt/Linie
